指标,优化前（基准）,优化后（稀有样本过采样）,变化量,变化率
整体RMSE（美元）,28775.01,27429.84,-1345.17,-4.67%
整体R²（拟合优度）,0.8921,0.9019,0.0098,1.1%
稀有样本RMSE（美元）,30636.81,29257.45,-1379.36,-4.5%
稀有样本R²,0.8923,0.9018,0.0095,1.06%
