,数量,占错误样本比,占全样本比
极端房价,74,78.72%,0.050684931506849315
稀有类别,34,36.17%,0.023287671232876714
强相关特征,60,63.83%,0.0410958904109589
缺失值集中,0,0.00%,0.0
分布偏移,30,31.91%,0.02054794520547945
